Date,Time,No,Status,Cert Val,Variance,Actual,NoX,Status,Cert Val,Variance,Actual,No2,Status,Cert Val,Variance,Actual,So2,Status,Cert Val,Variance,Actual,Co,Status,Cert Val,Variance,Actual,O3,Status,Cert Val,Variance,Actual,Zone
03/06/2014,09:50,,,,,,,,,,,,,,,,AZ,0,3,5,0.08,,,,,,,,,,,GMT
03/06/2014,10:50,AZ,0,0,10,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,GMT
03/06/2014,11:03,AS,0,345,5,334.28,,,,,,,,,,,,,,,,,,,,,,,,,,GMT
03/06/2014,11:50,,,,,,,,,,,,,,,,,,,,,AZ,0,0,5,-0.27,,,,,,GMT
03/06/2014,12:03,,,,,,,,,,,,,,,,,,,,,AS,0,13,5,11.41,,,,,,GMT
03/06/2014,12:50,,,,,,,,,,,,,,,,,,,,,,,,,,AZ,0,0,5,-999.00,GMT
03/06/2014,13:03,,,,,,,,,,,,,,,,,,,,,,,,,,AS,0,181,5,-999.00,GMT
