Date,Time,No,Status,Cert Val,Variance,Actual,NoX,Status,Cert Val,Variance,Actual,No2,Status,Cert Val,Variance,Actual,So2,Status,Cert Val,Variance,Actual,Co,Status,Cert Val,Variance,Actual,O3,Status,Cert Val,Variance,Actual,Zone
04/06/2014,11:50,AZ,0,0,10,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,GMT
04/06/2014,12:03,AS,0,345,5,334.11,,,,,,,,,,,,,,,,,,,,,,,,,,GMT
04/06/2014,12:50,,,,,,,,,,,,,,,,,,,,,AZ,0,0,5,-0.08,,,,,,GMT
04/06/2014,13:03,,,,,,,,,,,,,,,,,,,,,AS,0,13,5,11.61,,,,,,GMT
04/06/2014,13:50,,,,,,,,,,,,,,,,,,,,,,,,,,AZ,0,0,5,-2.93,GMT
04/06/2014,14:03,,,,,,,,,,,,,,,,,,,,,,,,,,AS,0,181,5,176.54,GMT
